Id,RAKE_Word_Scores
256468,"{'receive': 8.05, 'store': 4.05, 'small': 4.05, 'second': 4.05, 'purchase': 4.05, 'online': 4.05, 'offer': 4.05, 'jar': 4.05, 'item': 4.05, 'find': 4.05, 'deal': 4.05, 'could': 4.05, 'coffee': 4.05, 'christmas': 4.05, 'case': 8.1, 'best': 8.1, 'bali': 4.05, 'amazon': 4.05, 'love': 4.0}"
4074,"{'admit': 8.007, 'yell': 4.007, 'xlr': 12.02, 'well': 8.014, 'weight': 4.007, 'voice': 4.007, 'usefulness': 4.007, 'use': 8.014, 'usb': 8.014, 'unit': 4.007, 'typically': 4.007, 'try': 4.007, 'think': 4.007, 'suppose': 4.007, 'strip': 12.02, 'staple': 4.007, 'sound': 8.014, 'software': 4.007, 'signal': 4.007, 'several': 4.007, 'route': 4.007, 'recording': 8.014, 'recorder': 4.007, 'record': 16.027, 'put': 4.007, 'provide': 4.007, 'product': 8.014, 'preamp': 20.034, 'power': 8.014, 'plug': 8.014, 'piece': 4.007, 'phantom': 8.014, 'personally': 4.007, 'peak': 4.007, 'one': 16.027, 'normally': 4.007, 'nice': 4.007, 'near': 4.007, 'mini': 4.007, 'might': 4.007, 'mics': 4.007, 'mic': 24.041, 'make': 4.007, 'location': 4.007, 'light': 4.007, 'level': 20.034, 'know': 4.007, 'jack': 12.02, 'input': 12.02, 'indeed': 4.007, 'icicle': 12.02, 'high': 4.007, 'great': 4.007, 'good': 8.014, 'go': 4.007, 'get': 16.027, 'gadget': 4.007, 'forget': 4.007, 'extra': 4.007, 'equipment': 8.014, 'eq': 8.014, 'end': 4.007, 'encore': 12.02, 'disappointing': 4.007, 'directly': 4.007, 'digital': 4.007, 'depends': 4.007, 'deliver': 8.014, 'decent': 8.014, 'could': 4.007, 'conventional': 4.007, 'consider': 4.007, 'condenser': 4.007, 'computer': 12.02, 'compressor': 4.007, 'combine': 4.007, 'clear': 4.007, 'clean': 4.007, 'channel': 12.02, 'chain': 4.007, 'capability': 4.007, 'cable': 4.007, 'box': 4.007, 'blue': 8.014, 'beyond': 4.007, 'barely': 4.007, 'avoid': 4.007, 'audio': 4.007, 'audible': 4.007, 'altogether': 4.007, 'allow': 4.007, 'akg': 8.014, 'add': 4.007, 'acceptable': 4.007, 'option': 4.0}"
64194,"{'house': 12.1, 'repairable': 4.1, 'really': 4.1, 'piece': 4.1, 'number': 4.1, 'ice': 4.1, 'enough': 4.1, 'decorate': 4.1, 'candy': 4.1, 'broken': 4.1}"
160945,"{'wife': 8.03, 'whatever': 4.03, 'usually': 4.03, 'use': 4.03, 'u': 4.03, 'try': 4.03, 'store': 8.061, 'stock': 4.03, 'reason': 4.03, 'price': 8.061, 'prefers': 4.03, 'pay': 4.03, 'pack': 4.03, 'others': 4.03, 'order': 4.03, 'mix': 4.03, 'meal': 4.03, 'love': 4.03, 'long': 4.03, 'last': 4.03, 'however': 4.03, 'grocery': 4.03, 'frequent': 4.03, 'force': 4.03, 'enough': 4.03, 'crockpot': 4.03, 'cheap': 4.03, 'certainly': 4.03, 'brand': 8.061, 'amazon': 4.03, 'quite': 4.0}"
103615,"{'reminds': 8.071, 'undertone': 4.071, 'try': 4.071, 'open': 4.071, 'much': 4.071, 'like': 4.071, 'fentimin': 4.071, 'expect': 4.071, 'disappoint': 4.071, 'curiosity': 4.071, 'cola': 4.071, 'coke': 4.071, 'botanical': 4.071, 'actually': 4.071, 'mind': 4.0}"
553833,"{'nice': 8.037, 'wow': 4.037, 'two': 4.037, 'time': 4.037, 'style': 4.037, 'smell': 4.037, 'roast': 4.037, 'press': 4.037, 'pot': 4.037, 'open': 4.037, 'new': 4.037, 'morning': 4.037, 'make': 4.037, 'love': 4.037, 'like': 4.037, 'imagine': 4.037, 'full': 4.037, 'french': 4.037, 'flavor': 4.037, 'first': 4.037, 'every': 4.037, 'coffee': 4.037, 'bold': 4.037, 'body': 4.037, 'bean': 4.037, 'bag': 4.037, 'astringent': 4.037, 'facility': 4.0}"
501226,"{'love': 8.029, 'would': 8.059, 'time': 4.029, 'think': 4.029, 'taste': 4.029, 'sure': 8.059, 'still': 4.029, 'send': 4.029, 'seal': 8.059, 'pkgs': 4.029, 'order': 8.059, 'open': 4.029, 'old': 4.029, 'make': 4.029, 'live': 4.029, 'let': 4.029, 'last': 4.029, 'fresh': 4.029, 'five': 4.029, 'find': 4.029, 'due': 4.029, 'customer': 4.029, 'cooky': 12.059, 'company': 4.029, 'bag': 8.059, 'ate': 4.029, 'another': 4.029, 'also': 4.029}"
27534,"{'sent': 8.067, 'unique': 4.067, 'surprise': 4.067, 'love': 4.067, 'kiss': 4.067, 'item': 4.067, 'highly': 4.067, 'happy': 4.067, 'grandmother': 4.067, 'give': 4.067, 'gift': 4.067, 'chocolate': 4.067, 'birthday': 4.067, 'big': 4.067, '100th': 4.067, 'recommend': 4.0}"
84910,"{'regular': 12.067, 'without': 4.033, 'stuck': 4.033, 'stick': 4.033, 'shred': 4.033, 'put': 4.033, 'popcorn': 12.067, 'paper': 4.033, 'nothing': 4.033, 'never': 4.033, 'microwave': 4.033, 'lunch': 4.033, 'like': 4.033, 'kernel': 4.033, 'gum': 8.067, 'get': 8.067, 'flavor': 4.033, 'fantastic': 4.033, 'easy': 4.033, 'dream': 4.033, 'deep': 4.033, 'cup': 4.033, 'buy': 4.033, 'bag': 4.033, 'anything': 4.033, 'add': 4.033}"
101393,"{'hull': 8.056, 'would': 4.056, 'use': 4.056, 'tough': 4.056, 'throw': 4.056, 'star': 4.056, 'refund': 4.056, 'popcorn': 4.056, 'give': 8.111, 'full': 4.056, 'five': 4.056, 'find': 4.056, 'ever': 4.056, 'end': 4.056, 'couple': 4.056, 'bite': 4.056, 'amazon': 4.056, 'service': 4.0}"
